input_img,Filter Type,output,timestamp
.gradio\flagged\input_img\436cb77a9d35586f8299\WIN_20250120_12_47_40_Pro.jpg,Black and White,.gradio\flagged\output\6e3ff4117a98840a3f81\image.webp,2025-02-04 16:07:44.769921
.gradio\flagged\input_img\4200eb7dba006390f5a7\WIN_20250120_12_47_40_Pro.jpg,Edge Detection,.gradio\flagged\output\e42d7609ea8331a11306\image.webp,2025-02-04 16:12:16.006170
